"Year","State","Variable","Sex","Occupation","Estimate"
"2010","Illinois","B24020_022","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts",16795
"2010","Illinois","B24020_023","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers",38324
"2010","Illinois","B24020_024","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects",12596
"2010","Illinois","B24020_025","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists",20432
"2010","Illinois","B24020_026","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations",4763
"2010","Illinois","B24020_027","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:",70291
"2010","Illinois","B24020_028","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers",6453
"2010","Illinois","B24020_029","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers",50272
"2010","Illinois","B24020_030","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians",13566
"2010","Illinois","B24020_031","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:",20861
"2010","Illinois","B24020_032","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists",12180
"2010","Illinois","B24020_033","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers",3661
